Device,Pin,Opal Kelly,Breakout
In 1_0,HPC:HA13_N,JP3:20,IN1:1
In 1_1,HPC:HA02_N,JP3:19,IN1:3
In 1_2,HPC:HA14_P,JP3:18,IN1:5
In 1_3,HPC:HA02_P,JP3:17,IN1:7
In 1_4,HPC:HA14_N,JP3:16,IN1:9
In 1_5,HPC:HA01_CC_N,JP3:15,IN1:11
In 1_6,HPC:LA23_P,JP3:59,IN1:13
In 1_7,HPC:LA28_N,JP2:46,IN1:15
In 2_0,HPC:HA11_N,JP3:28,IN2:1
In 2_1,HPC:HA19_P,JP3:27,IN2:3
In 2_2,HPC:HA12_P,JP3:26,IN2:5
In 2_3,HPC:HA04_P,JP3:25,IN2:7
In 2_4,HPC:HA12_N,JP3:24,IN2:9
In 2_5,HPC:HA03_N,JP3:23,IN2:11
In 2_6,HPC:HA13_P,JP3:22,IN2:13
In 2_7,HPC:HA03_P,JP3:21,IN2:15
In 3_0,HPC:HA04_N,JP3:58,IN3:1
In 3_1,HPC:HA05_P,JP3:54,IN3:3
In 3_2,HPC:HA05_N,JP3:52,IN3:5
In 3_3,HPC:HA06_P,JP3:50,IN3:7
In 3_4,HPC:HA06_N,JP3:48,IN3:9
In 3_5,HPC:HA07_P,JP3:46,IN3:11
In 3_6,HPC:HA07_N,JP3:44,IN3:13
In 3_7,HPC:HA08_P,JP3:42,IN3:15
Out 1_0,HPC:LA03_N,JP2:65,OUT1:1
Out 1_1,HPC:LA03_P,JP2:67,OUT1:3
Out 1_2,HPC:LA02_N,JP2:69,OUT1:5
Out 1_3,HPC:LA02_P,JP2:71,OUT1:7
Out 1_4,HPC:LA01_CC_N,JP2:73,OUT1:9
Out 1_5,HPC:LA01_CC_P,JP2:75,OUT1:11
Out 1_6,HPC:LA00_CC_N,JP2:77,OUT1:13
Out 1_7,HPC:LA00_CC_P,JP2:79,OUT1:15
Out 2_0,HPC:LA07_N,JP2:47,OUT2:1
Out 2_1,HPC:LA07_P,JP2:49,OUT2:3
Out 2_2,HPC:LA06_N,JP2:51,OUT2:5
Out 2_3,HPC:LA06_P,JP2:53,OUT2:7
Out 2_4,HPC:LA05_N,JP2:57,OUT2:9
Out 2_5,HPC:LA05_P,JP2:59,OUT2:11
Out 2_6,HPC:LA04_N,JP2:61,OUT2:13
Out 2_7,HPC:LA04_P,JP2:63,OUT2:15
Out 3_0,HPC:LA32_N,JP2:38,OUT3:1
Out 3_1,HPC:LA09_N,JP2:39,OUT3:3
Out 3_2,HPC:LA32_P,JP2:40,OUT3:5
Out 3_3,HPC:LA09_P,JP2:41,OUT3:7
Out 3_4,HPC:LA28_P,JP2:42,OUT3:9
Out 3_5,HPC:LA08_N,JP2:43,OUT3:11
Out 3_6,HPC:LA30_P,JP2:44,OUT3:13
Out 3_7,HPC:LA08_P,JP2:45,OUT3:15
Out 4_0,HPC:LA19_P,JP2:28,OUT4:1
Out 4_1,HPC:LA11_N,JP2:29,OUT4:3
Out 4_2,HPC:LA19_N,JP2:30,OUT4:5
Out 4_3,HPC:LA11_P,JP2:31,OUT4:7
Out 4_4,HPC:LA33_N,JP2:32,OUT4:9
Out 4_5,HPC:LA10_N,JP2:33,OUT4:11
Out 4_6,HPC:LA33_P,JP2:34,OUT4:13
Out 4_7,HPC:LA10_P,JP2:37,OUT4:15
sma 0,HPC:HA09_P,JP3:38,SMA
sma 1,HPC:LA24_P,JP3:33,SMA
sma 2,HPC:LA24_N,JP3:39,SMA
sma 3,HPC:HA19_N,JP3:29,SMA
sma 4,HPC:HA10_N,JP3:32,SMA
sma 5,HPC:LA20_N,JP3:37,SMA
sma 6,HPC:HA11_P,JP3:30,SMA
sma 7,HPC:HA09_N,JP3:34,SMA
sma 8,HPC:LA20_P,JP3:31,SMA
oeb,HPC:HA08_N,JP3:40,OEB
io_update 0,HPC:HA00_CC_N,JP3:74,IN5:9
io_update 1,HPC:HA18_P,JP3:73,IN5:11
io_update 2,HPC:LA22_P,JP3:49,OUT7:9
io_update 3,HPC:LA26_P,JP3:51,OUT7:11
io_update 4,HPC:LA16_P,JP2:16,OUT6:9
io_update 5,HPC:LA14_N,JP2:17,OUT6:11
io_update 6,HPC:LA18_CC_P,JP2:24,OUT5:9
io_update 7,HPC:LA12_N,JP2:25,OUT5:11
reset 0,HPC:HA01_CC_P,JP3:72,IN5:13
reset 1,HPC:LA22_N,JP3:53,OUT7:13
reset 2,HPC:LA16_N,JP2:18,OUT6:13
reset 3,HPC:LA18_CC_N,JP2:26,OUT5:13
odd_channel_sdio 0,HPC:HA18_N,JP3:71,IN5:15
odd_channel_sdio 1,HPC:LA26_N,JP3:57,OUT7:15
odd_channel_sdio 2,HPC:LA14_P,JP2:19,OUT6:15
odd_channel_sdio 3,HPC:LA12_P,JP2:27,OUT5:15
spi 0 hv209 clk (MEMS),LPC:LA20_P,JP3:70,IN4:1
spi 0 hv209 d_in (MEMS),LPC:LA21_P,JP3:68,IN4:5
spi 1 dac8734 clk (MEMS),LPC:LA23_P,JP3:62,IN4:13
spi 1 dac8734 cs (MEMS),LPC:LA23_N,JP3:60,IN4:15
spi 1 dac8734 out (MEMS),LPC:LA22_N,JP3:64,IN4:11
hv209 clr (MEMS),LPC:LA20_N,JP3:69,IN4:3
dac8734 reset (MEMS),LPC:LA21_N,JP3:67,IN4:7
dac8734 ldac (MEMS),LPC:LA22_P,JP3:66,IN4:9
spi 2 clk,HPC:HA16_N,JP3:79,IN5:1
spi 2 cs_n,HPC:HA17_CC_P,JP3:77,IN5:3
spi 2 cs_n,HPC:HA00_CC_P,JP3:76,IN5:5
spi 2 mosi,HPC:HA17_CC_N,JP3:75,IN5:7
spi 3 clk,HPC:LA21_P,JP3:41,OUT7:1
spi 3 cs_n,HPC:LA25_P,JP3:43,OUT7:3
spi 3 cs_n,HPC:LA21_N,JP3:45,OUT7:5
spi 3 mosi,HPC:LA25_N,JP3:47,OUT7:7
spi 4 clk,HPC:LA27_P,JP3:61,OUT6:1
spi 4 cs_n,HPC:LA23_N,JP3:63,OUT6:3
spi 4 cs_n,HPC:LA27_N,JP3:65,OUT6:5
spi 4 mosi,HPC:LA15_P,JP2:15,OUT6:7
spi 5 clk,HPC:LA17_CC_P,JP2:20,OUT5:1
spi 5 cs_n,HPC:LA13_N,JP2:21,OUT5:3
spi 5 cs_n,HPC:LA17_CC_N,JP2:22,OUT5:5
spi 5 mosi,HPC:LA13_P,JP2:23,OUT5:7
DAC8568 clk,HPC:HA10_P,JP2:76,DAC_SCLK
DAC8568 cs_n,HPC:HA23_P,JP2:70,DAC_SYNC
DAC8568 mosi,HPC:HA23_N,JP2:74,DAC_DIN
ldac,HPC:HA21_P,JP2:68,LDAC
dac_spi clk,AB22,,
dac_spi cs_n,HPC:LA04_P,JP3:63,OUT 2_7
dac_spi mosi,AC21,,
unused,AC20,,
